star,time,title
"主演：张双兵,鲁园,许薇",上映时间：2018-08-14,大寒
"主演：萨尔曼·汗,安努舒卡·莎玛,兰迪普·弘达",上映时间：2018-08-31,苏丹
"主演：沈腾,宋芸桦,张一鸣",上映时间：2018-07-27,西虹市首富
"主演：郑润奇,郑鹏生,张咏娴",上映时间：2018-08-24,爸，我一定行的
"主演：古天乐,张智霖,郑嘉颖",上映时间：2018-09-14,反贪风暴3
"主演：小野贤章,苏尚卿,小野友树",上映时间：2018-08-24,黑子的篮球·终极一战
"主演：汤姆·克鲁斯,亨利•卡维尔,文•瑞姆斯",上映时间：2018-08-31,碟中谍6：全面瓦解
"主演：张子枫,彭昱畅,赵今麦",上映时间：2018-08-17,快把我哥带走
"主演：柯蒂·斯密特-麦菲,蕾奥娜·维埃拉,娜塔莎·迈尔兹",上映时间：2018-09-07,阿尔法：狼伴归途
"主演：保罗·路德,伊万杰琳·莉莉,迈克尔·佩纳",上映时间：2018-08-24,蚁人2：黄蜂女现身
"主演：杰森·斯坦森,李冰冰,雷恩·威尔森",上映时间：2018-08-10,巨齿鲨
主演：叶云,上映时间：2018-08-20,大三儿
"主演：亚当·桑德勒,赛琳娜·戈麦斯,凯瑟琳·哈恩",上映时间：2018-08-17,精灵旅社3：疯狂假期
"主演：周润发,郭富城,张静初",上映时间：2018-09-30,无双
"主演：邓超,孙俪,郑恺",上映时间：2018-09-30,影
"主演：保罗·路德,伊万杰琳·莉莉,迈克尔·佩纳",上映时间：2018-08-24,蚁人2：黄蜂女现身
"主演：黄才伦,艾伦,宋阳",上映时间：2018-09-30,李茶的姑妈
"主演：沈腾,黄景瑜,尹正",上映时间：2019-02-05,飞驰人生
"主演：牛骏峰,白举纲,吴谨言",上映时间：2018-09-14,说走就走之不说再见
"主演：汤姆·克鲁斯,亨利•卡维尔,文•瑞姆斯",上映时间：2018-08-31,碟中谍6：全面瓦解
"主演：道恩·强森,昆凌,文峰",上映时间：2018-07-20,摩天营救
